"sample","input","filtered","denoised_f","nonchim"
"SRR18175957",136775,120208,109240,97700
"SRR18175958",103547,91501,82805,75278
"SRR18175959",87742,64028,63080,60721
"SRR18175960",106013,85913,82895,69445
"SRR18175961",121633,98757,95693,82197
"SRR18175962",120397,106549,95546,86278
"SRR18175963",124338,99709,92479,78128
"SRR18175964",98855,80300,74345,63403
"SRR18175965",111077,89457,86636,74949
"SRR18175966",120346,96998,92649,82421
"SRR18175967",122701,97924,94622,78479
"SRR18175968",129129,103945,100659,84667
"SRR18175969",80038,64527,62156,53900
"SRR18175970",132268,113539,108664,89167
"SRR18175971",96171,78838,76250,62105
"SRR18175972",85422,68511,65323,55224
"SRR18175973",114833,101304,91886,84886
"SRR18175974",118725,96484,93963,82802
"SRR18175975",99776,82275,79434,76068
"SRR18175976",101719,81408,78453,67884
"SRR18175977",107996,91576,88119,81614
"SRR18175978",134131,109250,107093,96707
"SRR18175979",82891,59986,59221,57933
"SRR18175980",80435,57492,56736,53672
"SRR18175981",122352,97869,94817,82726
"SRR18175982",115382,92025,89887,78298
"SRR18175983",129432,104403,101457,85067
"SRR18175984",134444,117888,110692,96167
"SRR18175985",113332,100676,94177,81064
"SRR18175986",122426,97708,95265,82916
"SRR18175987",114850,91554,87596,74898
"SRR18175988",113343,99959,94428,84766
"SRR18175989",120841,96690,92581,81653
"SRR18175990",102013,82477,80097,69344
"SRR18175991",124515,98419,95104,79866
"SRR18175992",110142,96847,91273,80482
"SRR18175993",110448,87544,84956,72646
"SRR18175994",122445,108718,101225,87192
"SRR18175995",98372,86727,79537,72411
"SRR18175996",121964,97864,95689,84041
"SRR18175997",115287,100809,95252,83505
"SRR18175998",132787,106107,101095,86562
"SRR18175999",102345,90714,87014,80530
"SRR18176000",129958,115009,109825,99345
"SRR18176001",99542,88142,83551,75621
"SRR18176002",116702,93959,89252,79379
"SRR18176003",121873,97344,93765,78296
"SRR18176004",123762,98528,93804,81574
"SRR18176005",134734,119350,113839,101255
"SRR18176006",103013,91575,82785,73549
"SRR18176007",133609,118120,111282,98674
"SRR18176008",122771,97381,95040,82575
"SRR18176009",131995,115941,108683,91917
"SRR18176010",107218,84842,80254,71746
"SRR18176011",123414,100880,95328,83332
"SRR18176012",129453,103289,99123,84267
"SRR18176013",117675,94592,90106,74472
"SRR18176014",116655,93696,90390,78810
"SRR18176015",98950,79458,75399,65202
"SRR18176016",120117,106662,99742,86079
"SRR18176017",107790,87103,83960,71225
"SRR18176018",121238,98729,95632,84871
"SRR18176019",79021,63985,61581,48188
"SRR18176020",129157,113589,106158,89463
"SRR18176021",87900,69968,68148,60162
"SRR18176022",130060,103990,98172,86126
"SRR18176023",87925,64192,63671,62295
"SRR18176024",105066,83308,80797,70311
"SRR18176025",105216,83506,80760,69536
"SRR18176026",95445,69435,68612,65813
"SRR18176027",83783,61155,60268,57007
"SRR18176028",117309,104889,97480,91137
"SRR18176029",108215,80679,79798,77286
"SRR18176030",101587,73856,72785,70418
"SRR18176031",97152,71919,70845,67263
"SRR18176032",104597,74629,73555,68734
"SRR18176033",133864,118014,112127,100460
"SRR18176034",103321,82357,79456,69030
"SRR18176035",109458,88033,83585,73388
"SRR18176036",120962,96618,93390,80420
"SRR18176037",104327,92483,84065,76549
"SRR18176038",135602,106646,103496,92860
"SRR18176039",106484,84825,82030,68929
"SRR18176040",116409,101770,92539,84036
