correction,experiment,train_cohorts,test_cohort,model,n_train,n_test,auc,ci_lo,ci_hi
combatseq,LOCO,ling2020+shanghai2022+kazakhstan2022,zhuang2018,logreg,315,86,0.4889,0.3613,0.6096
combatseq,LOCO,ling2020+shanghai2022+kazakhstan2022,zhuang2018,lgbm,315,86,0.5592,0.4379,0.6897
combatseq,LOCO,zhuang2018+shanghai2022+kazakhstan2022,ling2020,logreg,230,171,0.4465,0.3545,0.5361
combatseq,LOCO,zhuang2018+shanghai2022+kazakhstan2022,ling2020,lgbm,230,171,0.5972,0.5033,0.6839
combatseq,LOCO,zhuang2018+ling2020+kazakhstan2022,shanghai2022,logreg,341,60,0.73,0.5933,0.8494
combatseq,LOCO,zhuang2018+ling2020+kazakhstan2022,shanghai2022,lgbm,341,60,0.7167,0.5755,0.8334
combatseq,LOCO,zhuang2018+ling2020+shanghai2022,kazakhstan2022,logreg,317,84,0.308,0.196,0.4239
combatseq,LOCO,zhuang2018+ling2020+shanghai2022,kazakhstan2022,lgbm,317,84,0.346,0.23,0.466
mmuphin,LOCO,ling2020+shanghai2022+kazakhstan2022,zhuang2018,logreg,315,86,0.5452,0.4166,0.6689
mmuphin,LOCO,ling2020+shanghai2022+kazakhstan2022,zhuang2018,lgbm,315,86,0.5133,0.3878,0.6351
mmuphin,LOCO,zhuang2018+shanghai2022+kazakhstan2022,ling2020,logreg,230,171,0.6644,0.5774,0.7459
mmuphin,LOCO,zhuang2018+shanghai2022+kazakhstan2022,ling2020,lgbm,230,171,0.5901,0.5,0.6778
mmuphin,LOCO,zhuang2018+ling2020+kazakhstan2022,shanghai2022,logreg,341,60,0.7778,0.6428,0.891
mmuphin,LOCO,zhuang2018+ling2020+kazakhstan2022,shanghai2022,lgbm,341,60,0.7567,0.6183,0.8765
mmuphin,LOCO,zhuang2018+ling2020+shanghai2022,kazakhstan2022,logreg,317,84,0.4628,0.337,0.5939
mmuphin,LOCO,zhuang2018+ling2020+shanghai2022,kazakhstan2022,lgbm,317,84,0.468,0.3278,0.6084
