experiment,train_cohort,test_cohort,model,n_train,n_train_AD,n_train_CN,n_test,n_test_AD,n_test_CN,auc,ci_lo,ci_hi
pairwise,zhuang2018,ling2020,logreg,86,43,43,171,100,71,0.5828,0.4958,0.6661
pairwise,zhuang2018,ling2020,lgbm,86,43,43,171,100,71,0.5982,0.5068,0.6828
pairwise,zhuang2018,shanghai2022,logreg,86,43,43,60,30,30,0.6956,0.5361,0.8195
pairwise,zhuang2018,shanghai2022,lgbm,86,43,43,60,30,30,0.6044,0.456,0.7365
pairwise,zhuang2018,kazakhstan2022,logreg,86,43,43,84,41,43,0.5661,0.435,0.6886
pairwise,zhuang2018,kazakhstan2022,lgbm,86,43,43,84,41,43,0.4929,0.3669,0.6112
pairwise,ling2020,zhuang2018,logreg,171,100,71,86,43,43,0.5376,0.4086,0.6585
pairwise,ling2020,zhuang2018,lgbm,171,100,71,86,43,43,0.6165,0.492,0.7393
pairwise,ling2020,shanghai2022,logreg,171,100,71,60,30,30,0.8789,0.7744,0.9611
pairwise,ling2020,shanghai2022,lgbm,171,100,71,60,30,30,0.8611,0.7699,0.942
pairwise,ling2020,kazakhstan2022,logreg,171,100,71,84,41,43,0.5933,0.4739,0.717
pairwise,ling2020,kazakhstan2022,lgbm,171,100,71,84,41,43,0.6018,0.4693,0.7238
pairwise,shanghai2022,zhuang2018,logreg,60,30,30,86,43,43,0.5787,0.456,0.6958
pairwise,shanghai2022,zhuang2018,lgbm,60,30,30,86,43,43,0.5279,0.4059,0.6487
pairwise,shanghai2022,ling2020,logreg,60,30,30,171,100,71,0.7599,0.6842,0.8297
pairwise,shanghai2022,ling2020,lgbm,60,30,30,171,100,71,0.5912,0.503,0.6778
pairwise,shanghai2022,kazakhstan2022,logreg,60,30,30,84,41,43,0.5468,0.4301,0.6667
pairwise,shanghai2022,kazakhstan2022,lgbm,60,30,30,84,41,43,0.4047,0.2798,0.5288
pairwise,kazakhstan2022,zhuang2018,logreg,84,41,43,86,43,43,0.5387,0.4174,0.6678
pairwise,kazakhstan2022,zhuang2018,lgbm,84,41,43,86,43,43,0.5219,0.3999,0.6374
pairwise,kazakhstan2022,ling2020,logreg,84,41,43,171,100,71,0.7386,0.6597,0.8131
pairwise,kazakhstan2022,ling2020,lgbm,84,41,43,171,100,71,0.5799,0.4937,0.6681
pairwise,kazakhstan2022,shanghai2022,logreg,84,41,43,60,30,30,0.6522,0.5022,0.7784
pairwise,kazakhstan2022,shanghai2022,lgbm,84,41,43,60,30,30,0.6033,0.4502,0.7485
