model,top_n,cohort_a,cohort_b,jaccard
logreg,10,zhuang2018,zhuang2018,1.0
logreg,10,zhuang2018,ling2020,0.25
logreg,10,zhuang2018,shanghai2022,0.1111
logreg,10,zhuang2018,kazakhstan2022,0.0
logreg,10,ling2020,zhuang2018,0.25
logreg,10,ling2020,ling2020,1.0
logreg,10,ling2020,shanghai2022,0.1111
logreg,10,ling2020,kazakhstan2022,0.1111
logreg,10,shanghai2022,zhuang2018,0.1111
logreg,10,shanghai2022,ling2020,0.1111
logreg,10,shanghai2022,shanghai2022,1.0
logreg,10,shanghai2022,kazakhstan2022,0.0526
logreg,10,kazakhstan2022,zhuang2018,0.0
logreg,10,kazakhstan2022,ling2020,0.1111
logreg,10,kazakhstan2022,shanghai2022,0.0526
logreg,10,kazakhstan2022,kazakhstan2022,1.0
logreg,20,zhuang2018,zhuang2018,1.0
logreg,20,zhuang2018,ling2020,0.2121
logreg,20,zhuang2018,shanghai2022,0.1765
logreg,20,zhuang2018,kazakhstan2022,0.0
logreg,20,ling2020,zhuang2018,0.2121
logreg,20,ling2020,ling2020,1.0
logreg,20,ling2020,shanghai2022,0.1111
logreg,20,ling2020,kazakhstan2022,0.0526
logreg,20,shanghai2022,zhuang2018,0.1765
logreg,20,shanghai2022,ling2020,0.1111
logreg,20,shanghai2022,shanghai2022,1.0
logreg,20,shanghai2022,kazakhstan2022,0.0526
logreg,20,kazakhstan2022,zhuang2018,0.0
logreg,20,kazakhstan2022,ling2020,0.0526
logreg,20,kazakhstan2022,shanghai2022,0.0526
logreg,20,kazakhstan2022,kazakhstan2022,1.0
logreg,50,zhuang2018,zhuang2018,1.0
logreg,50,zhuang2018,ling2020,0.4085
logreg,50,zhuang2018,shanghai2022,0.3333
logreg,50,zhuang2018,kazakhstan2022,0.1494
logreg,50,ling2020,zhuang2018,0.4085
logreg,50,ling2020,ling2020,1.0
logreg,50,ling2020,shanghai2022,0.3158
logreg,50,ling2020,kazakhstan2022,0.1111
logreg,50,shanghai2022,zhuang2018,0.3333
logreg,50,shanghai2022,ling2020,0.3158
logreg,50,shanghai2022,shanghai2022,1.0
logreg,50,shanghai2022,kazakhstan2022,0.0989
logreg,50,kazakhstan2022,zhuang2018,0.1494
logreg,50,kazakhstan2022,ling2020,0.1111
logreg,50,kazakhstan2022,shanghai2022,0.0989
logreg,50,kazakhstan2022,kazakhstan2022,1.0
lgbm,10,zhuang2018,zhuang2018,1.0
lgbm,10,zhuang2018,ling2020,0.0
lgbm,10,zhuang2018,shanghai2022,0.0
lgbm,10,zhuang2018,kazakhstan2022,0.0
lgbm,10,ling2020,zhuang2018,0.0
lgbm,10,ling2020,ling2020,1.0
lgbm,10,ling2020,shanghai2022,0.0
lgbm,10,ling2020,kazakhstan2022,0.0526
lgbm,10,shanghai2022,zhuang2018,0.0
lgbm,10,shanghai2022,ling2020,0.0
lgbm,10,shanghai2022,shanghai2022,1.0
lgbm,10,shanghai2022,kazakhstan2022,0.0
lgbm,10,kazakhstan2022,zhuang2018,0.0
lgbm,10,kazakhstan2022,ling2020,0.0526
lgbm,10,kazakhstan2022,shanghai2022,0.0
lgbm,10,kazakhstan2022,kazakhstan2022,1.0
lgbm,20,zhuang2018,zhuang2018,1.0
lgbm,20,zhuang2018,ling2020,0.0811
lgbm,20,zhuang2018,shanghai2022,0.0
lgbm,20,zhuang2018,kazakhstan2022,0.0256
lgbm,20,ling2020,zhuang2018,0.0811
lgbm,20,ling2020,ling2020,1.0
lgbm,20,ling2020,shanghai2022,0.0256
lgbm,20,ling2020,kazakhstan2022,0.0256
lgbm,20,shanghai2022,zhuang2018,0.0
lgbm,20,shanghai2022,ling2020,0.0256
lgbm,20,shanghai2022,shanghai2022,1.0
lgbm,20,shanghai2022,kazakhstan2022,0.0
lgbm,20,kazakhstan2022,zhuang2018,0.0256
lgbm,20,kazakhstan2022,ling2020,0.0256
lgbm,20,kazakhstan2022,shanghai2022,0.0
lgbm,20,kazakhstan2022,kazakhstan2022,1.0
lgbm,50,zhuang2018,zhuang2018,1.0
lgbm,50,zhuang2018,ling2020,0.1905
lgbm,50,zhuang2018,shanghai2022,0.0417
lgbm,50,zhuang2018,kazakhstan2022,0.0526
lgbm,50,ling2020,zhuang2018,0.1905
lgbm,50,ling2020,ling2020,1.0
lgbm,50,ling2020,shanghai2022,0.0753
lgbm,50,ling2020,kazakhstan2022,0.1364
lgbm,50,shanghai2022,zhuang2018,0.0417
lgbm,50,shanghai2022,ling2020,0.0753
lgbm,50,shanghai2022,shanghai2022,1.0
lgbm,50,shanghai2022,kazakhstan2022,0.0417
lgbm,50,kazakhstan2022,zhuang2018,0.0526
lgbm,50,kazakhstan2022,ling2020,0.1364
lgbm,50,kazakhstan2022,shanghai2022,0.0417
lgbm,50,kazakhstan2022,kazakhstan2022,1.0
